,Region,year,total,drafted,pmc,volunteers,prisoners,contract,slavic,non_slavic,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs,Excessive Marriages,ex_nup_per100k
33,Вологодская область,2023,464,70,12,89,176,55,440,24,163954.81,3346.8878,0.2845585208391987,2.0413477347813096,1128700.0,0.725259147692035,,,,,,,96.71,97.17,774.6,305.6163816062023
34,Вологодская область,2024,476,55,6,177,8,42,456,20,112050.97,352.8072,0.0352716360546713,0.3148631377309808,,,,,,,,,96.71,97.17,774.6,305.6163816062023
35,Вологодская область,2025,36,0,0,15,0,5,34,2,,,,,,,,,,,,,,,774.6,305.6163816062023
36,Воронежская область,2022,363,51,23,22,32,137,346,17,208011.53,12422.9038,1.2603359242093413,5.972218847676376,2302600.0,0.6850951098757926,61.9,3.5,30806.9,33735.0,39319.0,7.2,95.64,96.31,1370.8,262.20151337786245
37,Воронежская область,2023,496,68,8,130,113,63,474,22,226272.05,12048.178800000002,1.024358192746764,5.324642968497435,2285300.0,0.6851616855555068,,,,,,,95.64,96.31,1370.8,262.20151337786245
38,Воронежская область,2024,392,49,1,118,8,69,372,20,167755.33,6784.4382000000005,0.6782691368708175,4.044245986103691,,,,,,,,,95.64,96.31,1370.8,262.20151337786245
39,Воронежская область,2025,13,0,0,6,1,3,12,1,,,,,,,,,,,,,,,1370.8,262.20151337786245
40,ДНР,2022,8,0,6,0,0,0,8,0,,,,,,,,,,,,,,,,
41,ДНР,2023,90,0,5,29,0,17,88,2,,,,,,,,,,,,,,,,
42,ДНР,2024,89,8,0,33,7,20,77,12,,,,,,,,,,,,,,,,
43,ДНР,2025,25,1,0,0,0,9,24,1,,,,,,,,,,,,,,,,
44,Еврейская автономная область,2022,38,0,0,8,0,30,35,3,,,,,,,,,,,,,,,,
45,Еврейская автономная область,2023,31,2,0,0,13,8,28,3,,,,,,,,,,,,,,,,
46,Еврейская автономная область,2024,17,0,0,7,1,2,16,1,,,,,,,,,,,,,,,,
47,Забайкальский край,2022,285,7,8,16,31,178,235,50,124141.12,16184.8941,1.6419996316604988,13.037496439535907,1000500.0,0.6925537231384308,56.7,8.7,28379.6,27644.0,36183.0,17.6,89.22,89.47,1819.4,735.8841611389743
48,Забайкальский край,2023,769,68,16,142,334,74,691,78,145511.71,21367.1912,1.8166776676410672,14.684172978243469,992400.0,0.6951833937928255,,,,,,,89.22,89.47,1819.4,735.8841611389743
49,Забайкальский край,2024,701,70,6,217,45,124,614,87,109420.81,19714.2971,1.9709221137915087,18.01695408761825,,,,,,,,,89.22,89.47,1819.4,735.8841611389743
50,Забайкальский край,2025,110,8,4,45,1,28,92,18,,,,,,,,,,,,,,,1819.4,735.8841611389743
51,Ивановская область,2022,127,0,7,8,37,75,122,5,76966.13,15389.0878,1.561263011241518,19.99462334925765,924100.0,0.8195000541066984,73.1,3.1,26967.9,28872.0,34275.0,11.5,95.98,96.39,683.2,335.7413140694875
52,Ивановская область,2023,224,30,8,31,61,79,210,14,81340.34,16188.5643,1.3763813390213615,19.902257969415917,914700.0,0.8207062424838745,,,,,,,95.98,96.39,683.2,335.7413140694875
53,Ивановская область,2024,369,60,2,110,17,99,349,20,63325.92,14971.686,1.4967831147346735,23.642271600633677,,,,,,,,,95.98,96.39,683.2,335.7413140694875
54,Ивановская область,2025,59,0,2,15,0,34,56,3,,,,,,,,,,,,,,,683.2,335.7413140694875
55,Иностранцы,2022,145,0,16,38,67,24,35,110,,,,,,,,,,,,,,,,
56,Иностранцы,2023,169,4,18,33,80,17,42,127,,,,,,,,,,,,,,,,
57,Иностранцы,2024,155,0,0,132,1,15,34,121,,,,,,,,,,,,,,,,
58,Иностранцы,2025,15,0,0,0,0,0,8,7,,,,,,,,,,,,,,,,
59,Иркутская область,2022,195,0,16,52,0,112,175,20,319483.04000000004,4062.3901,0.4121400490264102,1.2715510970472796,2363500.0,0.7761793949650941,63.8,5.0,28570.9,26644.0,35040.0,14.8,92.21,92.78,1878.0,347.20938315794143
60,Иркутская область,2023,864,152,25,163,379,62,784,80,326416.59,4712.8367,0.4006939940767332,1.443810408043292,2344400.0,0.7751236990274697,,,,,,,92.21,92.78,1878.0,347.20938315794143
61,Иркутская область,2024,1267,129,0,543,68,138,1167,100,234229.38,757.204,0.0757009037999831,0.3232745610307297,,,,,,,,,92.21,92.78,1878.0,347.20938315794143
62,Иркутская область,2025,174,16,0,62,6,20,156,18,,,,,,,,,,,,,,,1878.0,347.20938315794143
63,Кабардино-Балкарская Республика,2022,83,8,0,12,0,41,20,63,,,,,,,,,,,,,,,,
64,Кабардино-Балкарская Республика,2023,117,8,1,39,6,24,36,81,,,,,,,,,,,,,,,,
65,Кабардино-Балкарская Республика,2024,63,8,7,19,4,13,18,45,,,,,,,,,,,,,,,,
66,Кабардино-Балкарская Республика,2025,9,0,0,0,0,9,1,8,,,,,,,,,,,,,,,,
67,Калининградская область,2022,202,8,10,34,23,99,183,19,137720.44,5014.274,0.5087111481961947,3.6409076241696585,1031000.0,0.7676042677012609,35.6,3.1,29129.9,30826.0,34506.0,12.0,91.3,93.99,1602.4,649.6128430696883
68,Калининградская область,2023,355,48,20,54,76,59,337,18,132850.75,5683.9262,0.4832577990905962,4.278429892191049,1032300.0,0.7661532500242177,,,,,,,91.3,93.99,1602.4,649.6128430696883
69,Калининградская область,2024,336,17,0,96,10,68,314,22,112895.0,4262.3329,0.4261235450768921,3.775484210992516,,,,,,,,,91.3,93.99,1602.4,649.6128430696883
70,Калининградская область,2025,38,0,0,4,4,1,37,1,,,,,,,,,,,,,,,1602.4,649.6128430696883
71,Калужская область,2022,96,7,2,7,24,56,85,11,106913.69,1957.6414,0.1986078152790226,1.8310483905288464,1073300.0,0.7503959750302804,56.6,3.9,31476.3,28327.0,35509.0,7.9,90.35,91.44,477.80000000000007,184.42678318466227
72,Калужская область,2023,253,41,16,63,64,11,231,22,113085.33,1320.3916000000002,0.1122621082859434,1.167606443735894,1070900.0,0.7485292744420581,,,,,,,90.35,91.44,477.80000000000007,184.42678318466227
73,Калужская область,2024,270,53,0,91,0,15,239,31,86831.3,429.765,0.042965434574566,0.4949424919355117,,,,,,,,,90.35,91.44,477.80000000000007,184.42678318466227
74,Калужская область,2025,8,0,0,8,0,0,6,2,,,,,,,,,,,,,,,477.80000000000007,184.42678318466227
75,Камчатский край,2022,63,7,0,0,8,40,57,6,120751.13,46909.7147,4.759112650523868,38.848261461404135,292600.0,0.7792207792207791,35.8,2.9,53171.8,44431.0,70769.0,12.8,88.3,90.01,465.2000000000001,616.8452317810545
76,Камчатский край,2023,112,15,0,47,28,15,100,12,130852.87,49167.6329,4.180322056565124,37.57474551379729,288700.0,0.7797021129199861,,,,,,,88.3,90.01,465.2000000000001,616.8452317810545
77,Камчатский край,2024,217,15,1,59,28,43,197,20,98385.78,51388.3332,5.137510192781176,52.23146393716653,,,,,,,,,88.3,90.01,465.2000000000001,616.8452317810545
78,Камчатский край,2025,37,0,0,8,1,0,32,5,,,,,,,,,,,,,,,465.2000000000001,616.8452317810545
79,Кемеровская область,2022,316,23,20,22,67,123,300,16,359279.56,10994.3068,1.1154010402800547,3.060098047325598,2592000.0,0.8652777777777778,53.9,4.1,26779.8,24686.0,32627.0,11.3,95.28,95.66,3031.2,513.9168869304858
80,Кемеровская область,2023,921,97,23,128,378,133,857,64,321860.42,11656.4043,0.9910488083621076,3.621571207792496,2568200.0,0.8652752900864419,,,,,,,95.28,95.66,3031.2,513.9168869304858
81,Кемеровская область,2024,674,59,0,238,53,101,631,43,208415.01,2987.9358,0.2987166477677422,1.4336471255117371,,,,,,,,,95.28,95.66,3031.2,513.9168869304858
82,Кемеровская область,2025,52,0,4,14,0,19,46,6,,,,,,,,,,,,,,,3031.2,513.9168869304858
83,Кировская область,2022,246,0,6,23,105,89,227,19,109060.27,15780.6068,1.6009836328171692,14.469620146731712,1149200.0,0.7794117647058824,73.3,3.8,25254.9,26548.0,32149.0,12.5,92.78,93.14,720.2,296.4481380406104
84,Кировская область,2023,389,28,26,95,66,49,362,27,111043.01,18071.5722,1.5364781139274477,16.274389716200954,1138100.0,0.7832352165890519,,,,,,,92.78,93.14,720.2,296.4481380406104
85,Кировская область,2024,977,103,0,334,24,82,914,63,89247.65,17507.936100000003,1.7503428223336792,19.617251658727152,,,,,,,,,92.78,93.14,720.2,296.4481380406104
86,Кировская область,2025,95,4,3,42,14,12,89,6,,,,,,,,,,,,,,,720.2,296.4481380406104
87,Костромская область,2022,189,8,8,15,46,95,184,5,57492.17,4548.3737,0.461444350139696,7.911292442083853,578000.0,0.7378892733564014,48.1,3.4,27139.8,29753.0,34450.0,11.0,96.11,96.71,556.8,463.30889756113794
88,Костромская область,2023,124,15,0,16,22,49,114,10,63093.4,6016.743,0.5115544920118336,9.536247848427887,571900.0,0.7408637873754153,,,,,,,96.11,96.71,556.8,463.30889756113794
89,Костромская область,2024,154,7,0,59,0,30,151,3,53023.19,6685.764700000001,0.6684043274784903,12.60913328677509,,,,,,,,,96.11,96.71,556.8,463.30889756113794
90,Костромская область,2025,32,7,0,8,1,6,30,2,,,,,,,,,,,,,,,556.8,463.30889756113794
91,Краснодарский край,2022,925,38,117,90,169,336,842,83,524277.25,18797.4562,1.9070508565486608,3.5854037534529684,5832000.0,0.5696673525377229,50.0,3.5,37188.6,45331.0,48279.0,9.0,92.34,92.98,3676.0,272.9426649628787
92,Краснодарский край,2023,1278,173,98,219,311,171,1166,112,623581.6900000001,24553.0253,2.0875431084051947,3.9374192176810063,5819300.0,0.5713401955561666,,,,,,,92.34,92.98,3676.0,272.9426649628787
93,Краснодарский край,2024,856,48,0,329,60,96,780,76,458476.95,18764.7069,1.8759875434780835,4.092835397722829,,,,,,,,,92.34,92.98,3676.0,272.9426649628787
94,Краснодарский край,2025,87,3,0,23,0,24,78,9,,,,,,,,,,,,,,,3676.0,272.9426649628787
95,Красноярский край,2022,222,34,0,26,38,85,205,17,444973.69,8225.585799999999,0.8345070885444861,1.8485555404410536,2856300.0,0.7942092917410636,56.9,2.7,32892.7,31564.0,41782.0,14.4,93.64,94.21,2503.2,370.25532707958
96,Красноярский край,2023,911,114,42,132,345,87,842,69,511056.48,8477.061300000001,0.7207352527895364,1.658732768636453,2845500.0,0.7958882445967316,,,,,,,93.64,94.21,2503.2,370.25532707958
97,Красноярский край,2024,902,92,4,259,46,130,831,71,353914.33,2549.0743,0.2548417974063914,0.7202517908783178,,,,,,,,,93.64,94.21,2503.2,370.25532707958
